field1,field2,field3
306,,
308,,
304,,
305,,
306,-12,977
283,-36,987
281,-39,986
279,-35,990
283,-37,991
283,-39,994
280,-39,987
279,-35,986
278,-36,988
276,-37,993
283,-36,992
282,-37,991
-27,-143,990
-32,1210,52
-154,1018,183
-176,116,1013
626,-287,-780
466,-807,313
717,-100,727
684,-129,756
686,-123,745
685,-127,748
681,-131,745
682,-125,748
685,-127,746
686,-130,751
687,-130,745
683,-134,746
685,-133,750
685,-134,739
683,-134,746
682,-133,745
687,-130,743
681,-133,750
681,-126,749
684,-136,745
689,-132,745
685,-131,743
683,-126,747
687,-132,748
682,-136,748
684,-129,743
688,-130,745
685,-128,748
684,-129,749
680,-128,746
200,-42,1004
195,-47,1014
192,-44,1006
199,-46,1010
192,-45,1006
199,-43,1009
194,-43,1010
202,-45,1002
193,-44,1011
195,-44,1012
200,-45,1014
199,-46,1010
192,-46,1012
-17,1,1033
376,-112,1734
-23,-7,1035
-22,-5,1034
-23,-2,1034
-25,-5,1033
-25,-5,1031
-24,-5,1033
-24,-2,1032
-23,-3,1031
-22,-3,1033
-19,-3,1032
-27,-8,1031
-22,-1,1039
-29,-8,1033
-23,-2,1036
-26,-2,1036
-21,1,1037
-28,-4,1032
-19,-6,1037
-23,-6,1031
-24,-7,1033
-26,-7,1029
-26,-7,1033
-26,-5,1032
-25,-12,1032
-21,-6,1036
-23,-5,1033
-23,-3,1035
-21,0,1031
-27,-4,1031
-24,-7,1039
-25,-3,1037
-22,-6,1037
-32,-1,1028
-23,-2,1037
-24,-8,1039
-20,-6,1035
-29,0,1034
-22,-3,1034
-23,-9,1034
-25,-8,1041
-23,-3,1035
-26,-3,1030
-23,-11,1029
-23,-3,1031
-23,-4,1032
-24,-2,1037
-28,-3,1032
-23,-7,1032
-22,-6,1034
-29,-1,1031
-23,-3,1030
-21,-4,1033
-24,-6,1038
-28,-5,1038
-23,-7,1036
-24,-3,1031
-22,-6,1037
-26,-5,1039
-23,-5,1038
-25,-4,1035
-21,-8,1029
-27,-3,1030
-25,-6,1029
-24,-3,1033
-25,-6,1032
-23,-7,1035
-24,-9,1034
-24,-5,1033
-25,-7,1035
-24,-4,1032
-27,-10,1033
-23,-3,1035
-24,-4,1039
-21,-6,1036
-24,-4,1033
-22,-8,1038
-20,-2,1033
-20,-5,1034
-25,-5,1031
-23,-4,1038
-24,-1,1034
-25,-5,1040
-23,-6,1034
-23,-6,1036
-27,-1,1033
-24,-10,1038
-24,-6,1038
-23,-6,1033
-25,-8,1035
-24,-7,1037
-31,-4,1040
-22,-8,1038
-23,-4,1030
-21,-4,1029
-22,-5,1039
-24,-9,1034
-24,-7,1038
-29,-9,1033
-26,-4,1043
-25,1,1032
-25,-1,1036
-25,-6,1032
-26,-8,1034
-27,-1,1033
-28,-8,1032
-21,-7,1031
-24,-1,1033
-23,-4,1036
-22,-4,1034
-25,-6,1035
-24,-3,1035
-21,-6,1025
-27,-3,1036
-24,-6,1030
-25,-5,1035
-25,-6,1035
-28,-3,1037
-24,-3,1028
-29,-2,1041
-26,-5,1034
-26,-4,1029
-25,-5,1037
-22,-5,1039
-20,-4,1037
-24,-1,1030
-22,-4,1030
-23,-4,1029
-25,-4,1033
-23,-7,1031
-26,0,1030
-22,0,1028
-22,-6,1037
-27,-4,1032
-22,-3,1035
-28,-2,1032
-21,-7,1030
-25,-8,1035
-22,-8,1034
-22,-9,1032
-21,-7,1040
-25,-8,1040
-20,-7,1031
-22,-5,1029
-20,-12,1040
-23,-3,1032
-24,-8,1033
-25,-5,1036
-24,-3,1037
-20,-5,1038
-22,-7,1032
14,-170,1021
-49,-107,1029
-45,-113,1025
-46,-111,1025
-50,-116,1021
-50,-111,1025
-46,-107,1029
-37,-109,1028
-40,-113,1027
-40,-114,1026
-50,-110,1030
-44,-108,1026
-39,-107,1021
-44,-110,1025
-43,-108,1025
-37,-113,1021
-40,-107,1028
-34,-112,1030
-41,-110,1031
-35,-111,1032
-34,-107,1027
-43,-108,1025
-39,-109,1025
-33,-111,1023
-28,-103,1026
-36,-107,1029
-41,-112,1022
-32,-110,1023
-44,-113,1030
-38,-107,1028
-38,-110,1025
-35,-105,1030
-36,-112,1024
-39,-107,1023
-38,-108,1031
-37,-109,1026
-35,-108,1023
-36,-114,1022
-37,-110,1029
-37,-112,1028
-40,-110,1025
-44,-112,1028
-36,-106,1025
17,192,-970
12,184,-971
16,188,-977
13,190,-973
17,185,-972
20,184,-968
16,185,-974
18,186,-966
18,187,-975
16,188,-972
15,187,-976
18,189,-965
17,187,-976
15,188,-974
15,189,-974
18,187,-973
18,184,-974
14,187,-970
18,184,-977
14,183,-970
20,188,-972
14,181,-969
18,185,-973
14,196,-975
22,186,-970
18,184,-980
13,186,-975
19,185,-977
13,190,-975
18,186,-975
19,183,-974
14,187,-975
17,191,-975
15,186,-974
20,186,-971
16,190,-974
17,186,-973
18,192,-975
16,187,-973
16,190,-972
16,187,-976
17,185,-969
18,188,-968
15,189,-972
17,184,-973
16,186,-970
11,184,-972
12,187,-970
14,185,-967
19,183,-974
17,187,-972
17,184,-971
16,189,-972
16,192,-969
16,186,-972
13,189,-977
19,189,-976
21,182,-977
16,182,-970
13,186,-972
14,186,-975
18,192,-975
15,187,-969
18,187,-968
14,183,-970
18,188,-971
24,184,-977
19,188,-979
18,186,-971
15,188,-974
18,185,-977
18,188,-974
15,187,-972
18,192,-974
-8,-6,1029
-14,-13,1036
-13,-5,1040
-10,-5,1038
-10,-9,1034
-11,-7,1036
-12,-7,1030
-9,-4,1036
-10,-8,1032
-12,-4,1031
-6,-2,1037
-12,-14,1038
-6,-10,1032
-11,-7,1033
-13,-5,1033
-8,-5,1036
-5,-7,1035
-11,-5,1038
-4,-13,1035
-10,-11,1036
-5,-7,1036
-11,-10,1029
-9,-5,1033
-14,-7,1029
-8,-9,1038
-11,-7,1034
-7,-8,1030
-6,-11,1034
-10,-8,1032
-11,-1,1033
-7,-6,1033
-7,-8,1035
-3,-5,1032
-11,-5,1030
-11,-5,1036
-10,-7,1034
-6,-7,1033
-11,-6,1030
-9,-12,1046
-5,-6,1034
-11,-6,1036
-7,-9,1030
-11,-7,1042
-12,-8,1032
-8,-7,1036
-9,-8,1033
-6,-8,1036
-11,-9,1032
-4,-8,1030
-3,-12,1032
-4,-8,1035
-11,-6,1033
-8,-8,1034
-9,-7,1032
-8,-9,1032
-7,-8,1035
-6,-7,1037
-4,-8,1036
-6,-11,1029
-9,-9,1032
-6,-5,1032
-11,1,1029
-14,-7,1037
-13,-9,1029
-8,-2,1030
-10,-9,1036
-8,-9,1035
-14,-5,1041
-9,-4,1044
-10,-8,1035
-6,-3,1032
-8,-11,1035
-16,-3,1032
-11,-12,1035
-7,-8,1032
-11,-7,1032
-3,-8,1031
-14,-4,1031
-17,-11,1031
-14,-4,1036
-12,-4,1037
-14,-9,1037
-9,-5,1032
-5,-4,1037
-12,-1,1037
-12,-5,1030
-12,-7,1029
-10,-7,1032
-12,-10,1029
-14,-13,1036
-6,-4,1035
-14,-6,1037
-15,-6,1036
-8,-5,1031
-12,-9,1039
